job_id,salary_in_usd,salary_in_gbp
job_121,131000,104446
job_122,220000,175406
job_123,176000,140324
job_124,49216,140324
job_125,36912,140324
job_126,210000,167433
job_127,147000,117203
job_128,186000,148297
job_129,161000,128365
job_130,205000,163446
job_131,152000,121189
job_132,220000,175406
job_133,190000,151487
job_134,205000,163446
job_135,152000,121189
job_136,137000,109230
job_137,110000,87703
job_138,172000,137135
job_139,146000,116405
job_140,148000,118000
job_141,99000,78932
job_142,150000,119595
job_143,130000,103649
job_144,105000,83716
job_145,99000,78932
job_146,52500,41858
job_147,180514,143923
job_148,108308,86354
job_149,210000,167433
job_150,147000,117203
job_151,290300,231456
job_152,196685,156817
job_153,220000,175406
job_154,176000,140324
job_155,175000,139527
job_156,130000,103649
job_157,185000,147500
job_158,150000,119595
job_159,145000,115608
job_160,115000,91689
job_161,133000,106041
job_162,58300,46482
job_163,115000,91689
job_164,95000,75743
job_165,110244,75743
job_166,39372,75743
job_167,43187,34272
job_168,31310,24847
job_169,92280,24847
job_170,67672,24847
job_171,92280,24847
job_172,67672,24847
job_173,75577,59976
job_174,303387,241359
job_175,100017,79569
job_176,230300,183618
job_177,140000,111622
job_178,124935,99610
job_179,76050,60634
job_180,224800,179233
job_181,131100,104526
job_182,258000,205703
job_183,171000,136338
job_184,196000,156270
job_185,121000,96473
job_186,195800,156111
job_187,171500,136737
job_188,166000,132351
job_189,73100,58282
job_190,220000,175406
job_191,160000,127568
job_192,85000,67770
job_193,65000,51824
job_194,220000,175406
job_195,100000,79730
job_196,185000,147500
job_197,152000,121189
job_198,220000,175406
job_199,100000,79730
job_200,48585,38556
job_201,38868,30845
job_202,220000,175406
job_203,100000,79730
job_204,220000,175406
job_205,100000,79730
job_206,220000,175406
job_207,100000,79730
job_208,110000,87703
job_209,80000,63784
job_210,36912,63784
job_211,150200,119754
job_212,71000,56608
job_213,167200,133308
job_214,121000,96473
job_215,133000,106041
job_216,58400,46562
job_217,135000,107635
job_218,110000,87703
job_219,104584,87703
job_220,73824,87703
job_221,187415,149426
job_222,114080,90956
job_223,187415,149426
job_224,114080,90956
job_225,166000,132351
job_226,73100,58282
job_227,306400,244293
job_228,168700,134504
job_229,187415,149426
job_230,114080,90956
job_231,32974,90956
job_232,32974,90956
job_233,165000,131554
job_234,140000,111622
job_235,150000,119595
job_236,167000,133149
job_237,121000,96473
job_238,185000,147500
job_239,79600,63465
job_240,190200,151646
job_241,95100,75823
job_242,133000,106041
job_243,58400,46562
job_244,90000,71757
job_245,70000,55811
job_246,166000,132351
job_247,73100,58282
job_248,135000,107635
job_249,100000,79730
job_250,180514,143923
job_251,108308,86354
job_252,294000,234406
job_253,192000,153081
job_254,266000,212082
job_255,167000,133149
job_256,200000,159460
job_257,150000,119595
job_258,163800,130597
job_259,88200,70321
job_260,180400,143833
job_261,138800,110665
job_262,67672,110665
job_263,55368,110665
job_264,319000,254339
job_265,206000,164244
job_266,215000,171419
job_267,142000,113216
job_268,266000,212082
job_269,167000,133149
job_270,140130,111725
job_271,84870,67666
job_272,178300,142158
job_273,105400,84035
job_274,222200,177160
job_275,136000,108432
job_276,215000,171419
job_277,142000,113216
job_278,240000,191352
job_279,210000,167433
job_280,122000,97270
job_281,94500,75344
job_282,150000,119595
job_283,116000,92486
job_284,90000,71757
job_285,145000,115608
job_286,128000,102054
job_287,154000,122784
job_288,126000,100459
job_289,240000,191352
job_290,157250,125375
job_291,219650,175127
job_292,136000,108432
job_293,150000,119595
job_294,180000,143514
job_295,125000,99662
job_296,247600,197411
job_297,127300,101496
job_298,60000,47838
job_299,55000,43851
job_300,250000,199325
job_301,125000,99662
job_302,190000,151487
job_303,170000,135541
job_304,202600,161533
job_305,168800,134584
job_306,132000,105243
job_307,111000,88500
job_308,203000,161852
job_309,127000,101257
job_310,125009,99669
job_311,83339,66446
job_312,112200,89457
job_313,91800,73192
job_314,200000,159460
job_315,160000,127568
job_316,161952,128520
job_317,185000,147500
job_318,150000,119595
job_319,160000,127568
job_320,130000,103649
job_321,145000,115608
job_322,115000,91689
job_323,133000,106041
job_324,58300,46482
job_325,254000,202514
job_326,159000,126770
job_327,170000,135541
job_328,85000,67770
job_329,130500,104047
job_330,116000,92486
job_331,81400,64900
job_332,43500,34682
job_333,169000,134743
job_334,92000,73351
job_335,166000,132351
job_336,73100,58282
job_337,190000,151487
job_338,165000,131554
job_339,305600,243655
job_340,146600,116884
job_341,150000,119595
job_342,120000,95676
job_343,275000,219257
job_344,146400,116724
job_345,208500,166237
job_346,165000,131554
job_347,258700,206261
job_348,172500,137534
job_349,150000,119595
job_350,130000,103649
job_351,185000,147500
job_352,150000,119595
job_353,166000,132351
job_354,73100,58282
job_355,198200,158025
job_356,110200,87862
job_357,166000,132351
job_358,73100,58282
job_359,212000,169027
job_360,93300,74388
job_361,212000,169027
job_362,93300,74388
job_363,166000,132351
job_364,73100,58282
job_365,167100,133228
job_366,111400,88819
job_367,133000,106041
job_368,58400,46562
job_369,166000,132351
job_370,73100,58282
job_371,170000,135541
job_372,145000,115608
job_373,212000,169027
job_374,93300,74388
job_375,170000,135541
job_376,135000,107635
job_377,145000,115608
job_378,115000,91689
job_379,139810,111470
job_380,95325,76002
job_381,278700,222207
job_382,159300,127010
job_383,226700,180748
job_384,151100,120472
job_385,247300,197172
job_386,139700,111382
job_387,188000,149892
job_388,139000,110824
job_389,150000,119595
job_390,160000,127568
job_391,94000,74946
job_392,127000,101257
job_393,65000,51824
job_394,276000,220055
job_395,174000,138730
job_396,260000,207298
job_397,136000,108432
job_398,250000,199325
job_399,210000,167433
job_400,188000,149892
job_401,139000,110824
job_402,238000,189757
job_403,176000,140324
job_404,204500,163048
job_405,142200,113376
job_406,212000,169027
job_407,190000,151487
job_408,261500,208494
job_409,134500,107236
job_410,239000,190554
job_411,122900,97988
job_412,115000,91689
job_413,95000,75743
job_414,158500,126372
job_415,115000,91689
job_416,331640,264416
job_417,267720,213453
job_418,180000,143514
job_419,90000,71757
job_420,83000,66175
job_421,66000,52621
job_422,224250,178794
job_423,121550,96911
job_424,166000,132351
job_425,73100,58282
job_426,141298,112657
job_427,115607,92173
job_428,109000,86905
job_429,100000,79730
job_430,205400,163765
job_431,92900,74069
job_432,220000,175406
job_433,130000,103649
job_434,160000,127568
job_435,110000,87703
job_436,230000,183379
job_437,100000,79730
job_438,186030,148321
job_439,110200,87862
job_440,130000,103649
job_441,100000,79730
job_442,242000,192946
job_443,106200,84673
job_444,220000,175406
job_445,120000,95676
job_446,258000,205703
job_447,171000,136338
job_448,91200,72713
job_449,58200,46402
job_450,192000,153081
job_451,178000,141919
job_452,210000,167433
job_453,130000,103649
job_454,160000,127568
job_455,150000,119595
job_456,260000,207298
job_457,136000,108432
job_458,206000,164244
job_459,134000,106838
job_460,180000,143514
job_461,135000,107635
job_462,200000,159460
job_463,120000,95676
job_464,212000,169027
job_465,93300,74388
job_466,106700,85072
job_467,57700,46004
job_468,266400,212400
job_469,173300,138172
job_470,125000,99662
job_471,100000,79730
job_472,165600,132033
job_473,65800,52462
job_474,210400,167752
job_475,170500,135939
job_476,212000,169027
job_477,93300,74388
job_478,170000,135541
job_479,160000,127568
job_480,185400,147819
job_481,81536,65008
job_482,193000,153879
job_483,158000,125973
job_484,170000,135541
job_485,100000,79730
job_486,222200,177160
job_487,136000,108432
job_488,148000,118000
job_489,99000,78932
job_490,204500,163048
job_491,142200,113376
job_492,95000,75743
job_493,75000,59797
job_494,115000,91689
job_495,105000,83716
job_496,195800,156111
job_497,161900,129083
job_498,90000,71757
job_499,80000,63784
job_500,192500,153480
job_501,140000,111622
job_502,100000,79730
job_503,75000,59797
job_504,169000,134743
job_505,91000,72554
job_506,216600,172695
job_507,144400,115130
job_508,150000,119595
job_509,120000,95676
job_510,133000,106041
job_511,58400,46562
job_512,166000,132351
job_513,73100,58282
job_514,166000,132351
job_515,73100,58282
job_516,336300,268132
job_517,179000,142716
job_518,296400,236320
job_519,159600,127249
job_520,212000,169027
job_521,93300,74388
job_522,204500,163048
job_523,142200,113376
job_524,258500,206102
job_525,226500,180588
job_526,247250,197132
job_527,118400,94400
job_528,160000,127568
job_529,140000,111622
job_530,212000,169027
job_531,93400,74467
job_532,172256,74467
job_533,123040,74467
job_534,219000,174608
job_535,132000,105243
job_536,130500,104047
job_537,116000,92486
job_538,323300,257767
job_539,184700,147261
job_540,250000,199325
job_541,200000,159460
job_542,136000,108432
job_543,91000,72554
job_544,185900,148218
job_545,129300,103091
job_546,143000,114014
job_547,78000,62189
job_548,135000,107635
job_549,110000,87703
job_550,142000,113216
job_551,102200,81484
job_552,137500,109628
job_553,81500,64980
job_554,202000,161054
job_555,147000,117203
job_556,140000,111622
job_557,125000,99662
job_558,170625,136039
job_559,127950,102014
job_560,123040,102014
job_561,86128,102014
job_562,85256,67974
job_563,71615,57098
job_564,100000,79730
job_565,100000,79730
job_566,185000,147500
job_567,125000,99662
job_568,60000,47838
job_569,52000,41459
job_570,300000,239190
job_571,260000,207298
job_572,225000,179392
job_573,170000,135541
job_574,100000,79730
job_575,80000,63784
job_576,204500,163048
job_577,142200,113376
job_578,135000,107635
job_579,100000,79730
job_580,297300,237037
job_581,198200,158025
job_582,240000,191352
job_583,190000,151487
job_584,185000,147500
job_585,79600,63465
job_586,222200,177160
job_587,136000,108432
job_588,110000,87703
job_589,95000,75743
job_590,324000,258325
job_591,159000,126770
job_592,207700,165599
job_593,133700,106599
job_594,71000,56608
job_595,57000,45446
job_596,222200,177160
job_597,136000,108432
job_598,200000,159460
job_599,150000,119595
job_600,59000,47040
job_601,50000,39865
job_602,234000,186568
job_603,208000,165838
job_604,187000,149095
job_605,128000,102054
job_606,202000,161054
job_607,147000,117203
job_608,50000,39865
job_609,64781,51408
job_610,57223,45410
job_611,21000,16743
job_612,135000,107635
job_613,120000,95676
job_614,150000,119595
job_615,140000,111622
job_616,190000,151487
job_617,165000,131554
job_618,280000,223244
job_619,190000,151487
job_620,212000,169027
job_621,190000,151487
job_622,43064,151487
job_623,43064,151487
job_624,245700,195896
job_625,132300,105482
job_626,90000,71757
job_627,80000,63784
job_628,212000,169027
job_629,93300,74388
job_630,212000,169027
job_631,93300,74388
job_632,276000,220055
job_633,174000,138730
job_634,133000,106041
job_635,58300,46482
job_636,145640,116118
job_637,84400,67292
job_638,300000,239190
job_639,195000,155473
job_640,190000,151487
job_641,107500,85709
job_642,105000,83716
job_643,75000,59797
job_644,140000,111622
job_645,98000,78135
job_646,204500,163048
job_647,142200,113376
job_648,236160,188290
job_649,159408,127096
job_650,115000,91689
job_651,85000,67770
job_652,145000,115608
job_653,120000,95676
job_654,120350,95955
job_655,74400,59319
job_656,158494,126367
job_657,88052,70203
job_658,181500,144710
job_659,127000,101257
job_660,300000,239190
job_661,260000,207298
job_662,258000,205703
job_663,171000,136338
job_664,25000,19932
job_665,200000,159460
job_666,150000,119595
job_667,225300,179631
job_668,197400,157387
job_669,205500,163845
job_670,128500,102453
job_671,191600,152762
job_672,125600,100141
job_673,245700,195896
job_674,132300,105482
job_675,130410,103976
job_676,92000,73351
job_677,183900,146623
job_678,108800,86746
job_679,275000,219257
job_680,121200,96632
job_681,166000,132351
job_682,73100,58282
job_683,231250,184375
job_684,111000,88500
job_685,300000,239190
job_686,130000,103649
job_687,210500,167831
job_688,105300,83955
job_689,158400,126292
job_690,85800,68408
job_691,305600,243655
job_692,146600,116884
job_693,180400,143833
job_694,138800,110665
job_695,258700,206261
job_696,172500,137534
job_697,156100,124458
job_698,100400,80049
job_699,134200,106997
job_700,103200,82281
job_701,105000,83716
job_702,85000,67770
job_703,220000,175406
job_704,160000,127568
job_705,110000,87703
job_706,95000,75743
job_707,95400,76062
job_708,57800,46083
job_709,110000,87703
job_710,86000,68567
job_711,125000,99662
job_712,87500,69763
job_713,185000,147500
job_714,79600,63465
job_715,275000,219257
job_716,170000,135541
job_717,133200,106200
job_718,84000,66973
job_719,171000,136338
job_720,93000,74148
job_721,216450,172575
job_722,123750,98665
job_723,212800,169665
job_724,124100,98945
job_725,205000,163446
job_726,166000,132351
job_727,231650,184694
job_728,189100,150769
job_729,160000,127568
job_730,120000,95676
job_731,156100,124458
job_732,100400,80049
job_733,266875,212779
job_734,128250,102253
job_735,158600,126451
job_736,115300,91928
job_737,225300,179631
job_738,197400,157387
job_739,109900,87623
job_740,61200,48794
job_741,161000,128365
job_742,75000,59797
job_743,166000,132351
job_744,73100,58282
job_745,138510,110434
job_746,95490,76134
job_747,150000,119595
job_748,110000,87703
job_749,232200,185133
job_750,133300,106280
job_751,121788,96647
job_752,79032,62718
job_753,178250,142118
job_754,110500,88101
job_755,190000,151487
job_756,160000,127568
job_757,216000,172217
job_758,184000,146703
job_759,166000,132351
job_760,104000,82919
job_761,185000,147500
job_762,79600,63465
job_763,230000,183379
job_764,196000,156270
job_765,184000,146703
job_766,123000,98068
job_767,165600,132033
job_768,65800,52462
job_769,186000,148297
job_770,81800,65219
job_771,135000,107635
job_772,82500,65777
job_773,247250,197132
job_774,160000,127568
job_775,169000,134743
job_776,105500,84115
job_777,195800,156111
job_778,161900,129083
job_779,108500,86507
job_780,78800,62827
job_781,225000,179392
job_782,166000,132351
job_783,167500,133547
job_784,106500,84912
job_785,160000,127568
job_786,110000,87703
job_787,120000,95676
job_788,105000,83716
job_789,110000,87703
job_790,87500,69763
job_791,60000,47838
job_792,55000,43851
job_793,145000,115608
job_794,115000,91689
job_795,225000,179392
job_796,166000,132351
job_797,135000,107635
job_798,100000,79730
job_799,105000,83716
job_800,95000,75743
job_801,289800,231057
job_802,214200,170781
job_803,167500,133547
job_804,106500,84912
job_805,220000,175406
job_806,146000,116405
job_807,128000,102054
job_808,81500,64980
job_809,206000,164244
job_810,134000,106838
job_811,370000,295001
job_812,200000,159460
job_813,175000,139527
job_814,160000,127568
job_815,240000,191352
job_816,100000,79730
job_817,180000,143514
job_818,160000,127568
job_819,143000,114014
job_820,127000,101257
job_821,249300,198767
job_822,149300,119037
job_823,222200,177160
job_824,136000,108432
job_825,190000,151487
job_826,160000,127568
job_827,248100,197810
job_828,145900,116326
job_829,170200,135700
job_830,83900,66893
job_831,100000,79730
job_832,75000,59797
job_833,166000,132351
job_834,90000,71757
job_835,160000,127568
job_836,94100,75026
job_837,226600,180668
job_838,140100,111701
job_839,247600,197411
job_840,127300,101496
job_841,222200,177160
job_842,136000,108432
job_843,260000,207298
job_844,136000,108432
job_845,222200,177160
job_846,136000,108432
job_847,156000,124378
job_848,124000,98865
job_849,200000,159460
job_850,132600,105722
job_851,308000,245568
job_852,190400,151806
job_853,155000,123581
job_854,136000,108432
job_855,160000,127568
job_856,75000,59797
job_857,214500,171021
job_858,132600,105722
job_859,111000,88500
job_860,104000,82919
job_861,260000,207298
job_862,136000,108432
job_863,85000,67770
job_864,75000,59797
job_865,180250,143713
job_866,118000,94081
job_867,212800,169665
job_868,111600,88978
job_869,157500,125574
job_870,132500,105642
job_871,85000,67770
job_872,75000,59797
job_873,93918,74880
job_874,51962,41429
job_875,171000,136338
job_876,152000,121189
job_877,223600,178276
job_878,115000,91689
job_879,166000,132351
job_880,73100,58282
job_881,140000,111622
job_882,110000,87703
job_883,130900,104366
job_884,72700,57963
job_885,333500,265899
job_886,144000,114811
job_887,180000,143514
job_888,118200,94240
job_889,354200,282404
job_890,221800,176841
job_891,166000,132351
job_892,73000,58202
job_893,156600,124857
job_894,137200,109389
job_895,149000,118797
job_896,65300,52063
job_897,187000,149095
job_898,180000,143514
job_899,119636,95385
job_900,70374,56109
job_901,105000,83716
job_902,67000,53419
job_903,102000,81324
job_904,94770,75560
job_905,186000,148297
job_906,81800,65219
job_907,133000,106041
job_908,58400,46562
job_909,169900,135461
job_910,164100,130837
job_911,305600,243655
job_912,172500,137534
job_913,105000,83716
job_914,75000,59797
job_915,37573,29816
job_916,36940,29816
job_917,180240,143705
job_918,120160,95803
job_919,212000,169027
job_920,93400,74467
job_921,275000,219257
job_922,170000,135541
job_923,119000,94878
job_924,71400,56927
job_925,115950,92447
job_926,69570,55468
job_927,225100,179472
job_928,140900,112339
job_929,116000,92486
job_930,90000,71757
job_931,212000,169027
job_932,93300,74388
job_933,179000,142716
job_934,144000,114811
job_935,250800,199963
job_936,167200,133308
job_937,144000,114811
job_938,76000,60594
job_939,230000,183379
job_940,180000,143514
job_941,156450,124737
job_942,119200,95038
job_943,150000,119595
job_944,130000,103649
job_945,247500,197331
job_946,172200,137295
job_947,155000,123581
job_948,125000,99662
job_949,175000,139527
job_950,97500,77736
job_951,220000,175406
job_952,185000,147500
job_953,100000,79730
job_954,75000,59797
job_955,303050,241622
job_956,202350,161333
job_957,21593,17136
job_958,201650,160775
job_959,124600,99343
job_960,198200,158025
job_961,110200,87862
job_962,212000,169027
job_963,93400,74467
job_964,145000,115608
job_965,110000,87703
job_966,89500,71358
job_967,65000,51824
job_968,328400,261833
job_969,205600,163925
job_970,184800,147341
job_971,161900,129083
job_972,85000,67770
job_973,61800,49273
job_974,70748,49273
job_975,67056,49273
job_976,116000,92486
job_977,72500,57804
job_978,215000,171419
job_979,169850,135421
job_980,225000,179392
job_981,180000,143514
job_982,147400,117522
job_983,107682,85854
job_984,225300,179631
job_985,197400,157387
job_986,160000,127568
job_987,136000,108432
job_988,204600,163127
job_989,126500,100858
job_990,210000,167433
job_991,115000,91689
job_992,86500,68966
job_993,40400,32210
job_994,260000,207298
job_995,136000,108432
job_996,329700,262870
job_997,192351,153361
job_998,280000,223244
job_999,160000,127568
job_1000,106700,85072
job_1001,97000,77338
job_1002,175000,139527
job_1003,150000,119595
job_1004,145000,115608
job_1005,120000,95676
job_1006,88000,70162
job_1007,60000,47838
job_1008,123000,98068
job_1009,93593,74621
job_1010,276000,220055
job_1011,174000,138730
job_1012,185900,148218
job_1013,129300,103091
job_1014,222405,177323
job_1015,172800,137773
job_1016,120350,95955
job_1017,74400,59319
job_1018,205600,163925
job_1019,105700,84274
job_1020,263500,210088
job_1021,189360,150976
job_1022,192000,153081
job_1023,124000,98865
job_1024,230000,183379
job_1025,124000,98865
job_1026,148500,118399
job_1027,82500,65777
job_1028,184800,147341
job_1029,161900,129083
job_1030,310000,247163
job_1031,206000,164244
job_1032,372000,296595
job_1033,223000,177798
job_1034,172256,177798
job_1035,123040,177798
job_1036,95000,75743
job_1037,80000,63784
job_1038,131000,104446
job_1039,110000,87703
job_1040,148500,118399
job_1041,82500,65777
job_1042,133000,106041
job_1043,58400,46562
job_1044,233500,186169
job_1045,146000,116405
job_1046,300000,239190
job_1047,130000,103649
job_1048,280889,223953
job_1049,187259,149301
job_1050,305100,243256
job_1051,146900,117123
job_1052,78800,62827
job_1053,44100,35160
job_1054,166000,132351
job_1055,73100,58282
job_1056,150000,119595
job_1057,80000,63784
job_1058,150000,119595
job_1059,80000,63784
job_1060,170000,135541
job_1061,120000,95676
job_1062,110000,87703
job_1063,90000,71757
job_1064,202800,161692
job_1065,104300,83158
job_1066,272400,217184
job_1067,140100,111701
job_1068,154000,122784
job_1069,103000,82122
job_1070,223600,178276
job_1071,115000,91689
job_1072,80750,64382
job_1073,48450,38629
job_1074,85600,68248
job_1075,57000,45446
job_1076,190400,151806
job_1077,112000,89297
job_1078,119636,95385
job_1079,70374,56109
job_1080,304750,242977
job_1081,160000,127568
job_1082,98873,78831
job_1083,58161,46371
job_1084,138000,110027
job_1085,85500,68169
job_1086,307100,244851
job_1087,216800,172854
job_1088,153600,122465
job_1089,106800,85151
job_1090,250000,199325
job_1091,125000,99662
job_1092,280000,223244
job_1093,180000,143514
job_1094,160000,127568
job_1095,130000,103649
job_1096,180000,143514
job_1097,162000,129162
job_1098,185000,147500
job_1099,79600,63465
job_1100,164640,131267
job_1101,131712,105014
job_1102,74800,59638
job_1103,63600,50708
job_1104,138510,110434
job_1105,95490,76134
job_1106,92280,76134
job_1107,67672,76134
job_1108,280000,223244
job_1109,160000,127568
job_1110,170000,135541
job_1111,140000,111622
job_1112,137500,109628
job_1113,81500,64980
job_1114,253792,202348
job_1115,158620,126467
job_1116,259900,207218
job_1117,139200,110984
job_1118,118118,110984
job_1119,79976,110984
job_1120,293000,233609
job_1121,185000,147500
job_1122,180000,143514
job_1123,90000,71757
job_1124,165000,131554
job_1125,115500,92088
job_1126,110000,87703
job_1127,70000,55811
job_1128,142000,113216
job_1129,102000,81324
job_1130,141600,112897
job_1131,121400,96792
job_1132,240000,191352
job_1133,170000,135541
job_1134,222200,177160
job_1135,136000,108432
job_1136,55000,43851
job_1137,49000,39067
job_1138,135000,107635
job_1139,110000,87703
job_1140,200000,159460
job_1141,180000,143514
job_1142,246080,143514
job_1143,184560,143514
job_1144,168000,133946
job_1145,130000,103649
job_1146,105000,83716
job_1147,70000,55811
job_1148,105000,83716
job_1149,100000,79730
job_1150,243000,193744
job_1151,152000,121189
job_1152,167500,133547
job_1153,106500,84912
job_1154,79976,84912
job_1155,115600,92167
job_1156,79700,63544
job_1157,281700,224599
job_1158,141100,112499
job_1159,173100,138012
job_1160,86900,69285
job_1161,258700,206261
job_1162,133800,106678
job_1163,120000,95676
job_1164,85000,67770
job_1165,225300,179631
job_1166,197400,157387
job_1167,157000,125176
job_1168,125000,99662
job_1169,208000,165838
job_1170,134000,106838
job_1171,140000,111622
job_1172,65000,51824
job_1173,258700,206261
job_1174,160000,127568
job_1175,258700,206261
job_1176,188200,150052
job_1177,49216,150052
job_1178,49216,150052
job_1179,110000,87703
job_1180,73400,58521
job_1181,183414,146236
job_1182,183414,146236
job_1183,130000,103649
job_1184,97200,77497
job_1185,299000,238392
job_1186,187000,149095
job_1187,204500,163048
job_1188,66000,52621
job_1189,190000,151487
job_1190,140000,111622
job_1191,170200,135700
job_1192,83900,66893
job_1193,130000,103649
job_1194,101570,80981
job_1195,177000,141122
job_1196,118000,94081
job_1197,234500,186967
job_1198,127000,101257
job_1199,114979,87935
job_1200,287500,229224
job_1201,168000,133946
job_1202,155000,123581
job_1203,140000,111622
job_1204,230000,183379
job_1205,180000,143514
job_1206,153000,121987
job_1207,136000,108432
job_1208,93918,74880
job_1209,51962,41429
job_1210,254000,202514
job_1211,200000,159460
job_1212,214500,171021
job_1213,134500,107236
job_1214,136000,108432
job_1215,104000,82919
job_1216,110000,87703
job_1217,90000,71757
job_1218,145000,115608
job_1219,115000,91689
job_1220,143000,114014
job_1221,117000,93284
job_1222,216000,172217
job_1223,184000,146703
job_1224,324000,258325
job_1225,159000,126770
job_1226,130000,103649
job_1227,110000,87703
job_1228,73824,87703
job_1229,55368,87703
job_1230,370000,295001
job_1231,200000,159460
job_1232,275300,219496
job_1233,183500,146304
job_1234,230000,183379
job_1235,196000,156270
job_1236,253000,201717
job_1237,172040,137167
job_1238,234000,186568
job_1239,178000,141919
job_1240,164000,130757
job_1241,130000,103649
job_1242,109238,87095
job_1243,68274,54434
job_1244,57223,45410
job_1245,51824,41126
job_1246,80800,64421
job_1247,53800,42894
job_1248,258900,206421
job_1249,176080,140388
job_1250,70748,140388
job_1251,67056,140388
job_1252,120000,95676
job_1253,110000,87703
job_1254,309000,246366
job_1255,142000,113216
job_1256,201650,160775
job_1257,124600,99343
job_1258,65000,51824
job_1259,60000,47838
job_1260,132100,105323
job_1261,68400,54535
job_1262,145000,115608
job_1263,110000,87703
job_1264,160000,127568
job_1265,140000,111622
job_1266,87500,69763
job_1267,62500,49831
job_1268,142000,113216
job_1269,128000,102054
job_1270,160000,127568
job_1271,130000,103649
job_1272,155000,123581
job_1273,139500,111223
job_1274,202800,161692
job_1275,104300,83158
job_1276,221000,176203
job_1277,129000,102851
job_1278,259000,206500
job_1279,138750,110625
job_1280,120000,95676
job_1281,100000,79730
job_1282,155000,123581
job_1283,130000,103649
job_1284,247300,197172
job_1285,139700,111382
job_1286,215000,171419
job_1287,182750,145706
job_1288,248100,197810
job_1289,145900,116326
job_1290,207000,165041
job_1291,141000,112419
job_1292,90000,71757
job_1293,55000,43851
job_1294,247300,197172
job_1295,139700,111382
job_1296,36000,28702
job_1297,300000,239190
job_1298,100000,79730
job_1299,300000,239190
job_1300,100000,79730
job_1301,116700,93045
job_1302,93400,74467
job_1303,80000,63784
job_1304,50000,39865
job_1305,179000,142716
job_1306,176490,140715
job_1307,195000,155473
job_1308,143750,114612
job_1309,180000,143514
job_1310,162000,129162
job_1311,199000,158662
job_1312,196760,156876
job_1313,90000,71757
job_1314,70000,55811
job_1315,324000,258325
job_1316,159000,126770
job_1317,222000,177000
job_1318,159000,126770
job_1319,175000,139527
job_1320,150000,119595
job_1321,50000,39865
job_1322,70179,55692
job_1323,110000,87703
job_1324,75000,59797
job_1325,46426,36842
job_1326,38868,30845
job_1327,220000,175406
job_1328,80000,63784
job_1329,167500,133547
job_1330,106500,84912
job_1331,150000,119595
job_1332,130000,103649
job_1333,150000,119595
job_1334,130000,103649
job_1335,126500,100858
job_1336,78000,62189
job_1337,185900,148218
job_1338,129300,103091
job_1339,250000,199325
job_1340,222000,177000
job_1341,145000,115608
job_1342,120000,95676
job_1343,150000,119595
job_1344,120000,95676
job_1345,204500,163048
job_1346,142200,113376
job_1347,297000,236798
job_1348,138000,110027
job_1349,147600,117681
job_1350,106300,84753
job_1351,247300,197172
job_1352,139700,111382
job_1353,102586,111382
job_1354,79981,111382
job_1355,131250,104645
job_1356,128100,102134
job_1357,116000,92486
job_1358,90000,71757
job_1359,174500,139129
